	tissue	gene_id	gene_name	chr	start	end	num_var	TR_chr	TR_start	TR_end	TR_locus	eTR	lead_TR	lead_p_nominal	p_nominal	slope	slope_se	qval
17	Whole_Blood	ENSG00000189306.10	RRP7A	chr22	42509968	42519802	1	chr22	42546989	42547432	16467	True	True	1.2630e-32	1.2630e-32	4.4364e-01	3.5261e-02	4.2228e-29
18	Testis	ENSG00000113303.11	BTNL8	chr5	180899077	180950906	9	chr5	180986484	180986608	21968	True	True	1.1882e-33	1.1882e-33	6.0817e-01	4.4585e-02	7.6648e-29
19	Muscle_Skeletal	ENSG00000224769.1	MUC20P1	chr3	195614947	195620233	5	chr3	195717039	195717263	18365	True	True	2.2168e-33	2.2168e-33	4.3598e-01	3.4311e-02	1.9267e-28
20	Testis	ENSG00000168903.8	BTNL3	chr5	180988845	181006727	10	chr5	180986484	180986608	21968	True	True	7.0138e-33	7.0138e-33	-6.0233e-01	4.4834e-02	4.0216e-28
21	Thyroid	ENSG00000236848.2	RPL23AP95	chr7	103152007	103152325	1	chr7	103160090	103160955	24751	True	True	4.7227e-32	4.7227e-32	4.7793e-01	3.7941e-02	5.0450e-28
22	Colon_Transverse	ENSG00000197888.2	UGT2B17	chr4	68537184	68568527	1	chr4	68596915	68597248	19224	True	True	4.8168e-32	4.8168e-32	5.6277e-01	4.3267e-02	1.0024e-27
23	Adipose_Subcutaneous	ENSG00000189306.10	RRP7A	chr22	42509968	42519802	1	chr22	42546989	42547432	16467	True	True	1.5080e-31	1.5080e-31	4.6573e-01	3.7428e-02	1.5265e-27
24	Skin_Sun_Exposed_Lower_leg	ENSG00000283426.1	RP11-141C7.2	chr3	195701618	195711643	4	chr3	195717039	195717263	18365	True	True	3.4227e-31	3.4227e-31	4.5230e-01	3.6717e-02	9.4717e-27
25	Skin_Sun_Exposed_Lower_leg	ENSG00000224769.1	MUC20P1	chr3	195614947	195620233	5	chr3	195717039	195717263	18365	True	True	6.4414e-31	6.4414e-31	4.5042e-01	3.6757e-02	1.6711e-26
26	Muscle_Skeletal	ENSG00000189306.10	RRP7A	chr22	42509968	42519802	1	chr22	42546989	42547432	16467	True	True	2.2886e-30	2.2886e-30	4.1981e-01	3.4882e-02	1.9891e-26
27	Thyroid	ENSG00000224769.1	MUC20P1	chr3	195614947	195620233	5	chr3	195717039	195717263	18365	True	True	6.1328e-31	6.1328e-31	4.6224e-01	3.7573e-02	2.1838e-26
28	Skin_Not_Sun_Exposed_Suprapubic	ENSG00000026297.15	RNASET2	chr6	166929504	166957184	5	chr6	166997607	166997910	23486	True	True	3.8001e-31	3.8001e-31	-4.8202e-01	3.8797e-02	2.6573e-26
29	Skin_Not_Sun_Exposed_Suprapubic	ENSG00000224769.1	MUC20P1	chr3	195614947	195620233	5	chr3	195712742	195714439	18364	True	True	5.1094e-31	5.1094e-31	4.8443e-01	3.9045e-02	2.6573e-26
30	Thyroid	ENSG00000189306.10	RRP7A	chr22	42509968	42519802	1	chr22	42546989	42547432	16467	True	True	6.6257e-30	6.6257e-30	4.5676e-01	3.7864e-02	3.5390e-26
31	Muscle_Skeletal	ENSG00000214401.4	KANSL1-AS1	chr17	46193576	46196723	1	chr17	46265245	46265480	10319	True	True	4.1294e-29	4.1294e-29	4.0916e-01	3.4863e-02	2.3927e-25
32	Nerve_Tibial	ENSG00000215837.7	SDHAP2	chr3	195658096	195685904	4	chr3	195694561	195694966	18362	True	True	1.8391e-29	1.8391e-29	4.6613e-01	3.8835e-02	7.8038e-25
33	Adipose_Visceral_Omentum	ENSG00000189306.10	RRP7A	chr22	42509968	42519802	1	chr22	42546989	42547432	16467	True	True	8.1833e-29	8.1833e-29	4.9348e-01	4.1230e-02	8.2999e-25
34	Testis	ENSG00000259098.1	RP11-603B24.2	chr15	22258138	22258848	1	chr15	22191774	22192105	8178	True	True	1.8234e-28	1.8234e-28	5.7089e-01	4.6556e-02	8.7127e-25
35	Testis	ENSG00000258732.1	RP11-603B24.1	chr15	22278971	22282872	1	chr15	22191774	22192105	8178	True	True	2.6276e-28	2.6276e-28	5.6951e-01	4.6611e-02	1.0762e-24
36	Nerve_Tibial	ENSG00000224769.1	MUC20P1	chr3	195614947	195620233	5	chr3	195717039	195717263	18365	True	True	6.2096e-29	6.2096e-29	4.6180e-01	3.8897e-02	2.1957e-24
37	Cells_Cultured_fibroblasts	ENSG00000100211.10	CBY1	chr22	38656640	38673854	3	chr22	38644314	38644569	16425	True	True	1.4733e-28	1.4733e-28	-4.9633e-01	4.1624e-02	4.0056e-24
38	Thyroid	ENSG00000215837.7	SDHAP2	chr3	195658096	195685904	4	chr3	195694561	195694966	18362	True	True	3.0711e-28	3.0711e-28	4.4099e-01	3.7859e-02	5.2490e-24
39	Cells_Cultured_fibroblasts	ENSG00000237975.6	FLG-AS1	chr1	152168125	152445456	4	chr1	152213243	152221044	1143	True	True	2.1764e-28	2.1764e-28	-4.7767e-01	4.0438e-02	5.2596e-24
40	Skin_Not_Sun_Exposed_Suprapubic	ENSG00000189306.10	RRP7A	chr22	42509968	42519802	1	chr22	42546989	42547432	16467	True	True	8.5717e-28	8.5717e-28	4.6274e-01	3.9805e-02	5.9439e-24
41	Muscle_Skeletal	ENSG00000236397.3	DDX11L2	chr2	113599036	113601261	6	chr2	113610060	113611275	13631	True	True	3.2995e-28	3.2995e-28	-4.0190e-01	3.4885e-02	8.6033e-24
42	Stomach	ENSG00000168903.8	BTNL3	chr5	180988845	181006727	10	chr5	180986484	180986608	21968	True	True	4.8612e-29	4.8612e-29	-5.6917e-01	4.5963e-02	9.7087e-24
43	Skin_Not_Sun_Exposed_Suprapubic	ENSG00000206077.10	ZDHHC11B	chr5	710360	766952	19	chr5	764827	765401	20384	True	True	1.0149e-28	1.0149e-28	4.6907e-01	3.9575e-02	1.0029e-23
44	Artery_Tibial	ENSG00000215837.7	SDHAP2	chr3	195658096	195685904	4	chr3	195694561	195694966	18362	True	True	3.5563e-28	3.5563e-28	4.3705e-01	3.7607e-02	1.3618e-23
45	Adipose_Subcutaneous	ENSG00000215837.7	SDHAP2	chr3	195658096	195685904	4	chr3	195694561	195694966	18362	True	True	8.7149e-28	8.7149e-28	4.3518e-01	3.7744e-02	2.3524e-23
46	Lung	ENSG00000189306.10	RRP7A	chr22	42509968	42519802	1	chr22	42546989	42547432	16467	True	True	2.9306e-27	2.9306e-27	4.5976e-01	3.9995e-02	3.1361e-23
47	Artery_Tibial	ENSG00000224769.1	MUC20P1	chr3	195614947	195620233	5	chr3	195694561	195694966	18362	True	True	1.0569e-27	1.0569e-27	4.3353e-01	3.7679e-02	3.3726e-23
48	Thyroid	ENSG00000197915.5	HRNR	chr1	152212082	152224193	3	chr1	152213243	152221044	1143	True	True	3.1735e-27	3.1735e-27	4.3267e-01	3.7962e-02	3.3901e-23
49	Adipose_Visceral_Omentum	ENSG00000113303.11	BTNL8	chr5	180899077	180950906	9	chr5	180986484	180986608	21968	True	True	5.6387e-28	5.6387e-28	4.7844e-01	4.0810e-02	3.4314e-23
50	Nerve_Tibial	ENSG00000283426.1	RP11-141C7.2	chr3	195701618	195711643	4	chr3	195717039	195717263	18365	True	True	2.0405e-27	2.0405e-27	4.5021e-01	3.9157e-02	4.3292e-23
51	Esophagus_Muscularis	ENSG00000224769.1	MUC20P1	chr3	195614947	195620233	5	chr3	195694561	195694966	18362	True	True	5.3129e-28	5.3129e-28	4.8278e-01	4.1101e-02	5.2156e-23
52	Esophagus_Muscularis	ENSG00000206077.10	ZDHHC11B	chr5	710360	766952	19	chr5	764827	765401	20384	True	True	5.1495e-28	5.1495e-28	4.8712e-01	4.1400e-02	9.6050e-23
53	Lung	ENSG00000215837.7	SDHAP2	chr3	195658096	195685904	4	chr3	195694561	195694966	18362	True	True	3.9013e-27	3.9013e-27	4.5510e-01	3.9742e-02	1.1133e-22
54	Artery_Tibial	ENSG00000237975.6	FLG-AS1	chr1	152168125	152445456	4	chr1	152213243	152221044	1143	True	True	8.8035e-27	8.8035e-27	-4.2622e-01	3.7791e-02	1.6855e-22
55	Thyroid	ENSG00000113303.11	BTNL8	chr5	180899077	180950906	9	chr5	180986484	180986608	21968	True	True	1.1614e-26	1.1614e-26	4.2733e-01	3.7969e-02	3.1904e-22
56	Skin_Sun_Exposed_Lower_leg	ENSG00000215837.7	SDHAP2	chr3	195658096	195685904	4	chr3	195694561	195694966	18362	True	True	2.7739e-26	2.7739e-26	4.1586e-01	3.7346e-02	4.6058e-22
57	Muscle_Skeletal	ENSG00000215837.7	SDHAP2	chr3	195658096	195685904	4	chr3	195694561	195694966	18362	True	True	5.8332e-26	5.8332e-26	3.8540e-01	3.5103e-02	8.1118e-22
58	Artery_Tibial	ENSG00000120071.13	KANSL1	chr17	46029916	46225389	1	chr17	46265245	46265480	10319	True	True	2.4310e-25	2.4310e-25	4.1663e-01	3.8144e-02	9.3089e-22
59	Artery_Tibial	ENSG00000283426.1	RP11-141C7.2	chr3	195701618	195711643	4	chr3	195717039	195717263	18365	True	True	7.7035e-26	7.7035e-26	4.1925e-01	3.7960e-02	9.8327e-22
60	Lung	ENSG00000224769.1	MUC20P1	chr3	195614947	195620233	5	chr3	195717039	195717263	18365	True	True	3.6874e-26	3.6874e-26	4.4647e-01	3.9857e-02	9.8648e-22
61	Muscle_Skeletal	ENSG00000206077.10	ZDHHC11B	chr5	710360	766952	19	chr5	764827	765401	20384	True	True	2.5521e-26	2.5521e-26	3.9141e-01	3.5341e-02	1.4048e-21
62	Colon_Transverse	ENSG00000189306.10	RRP7A	chr22	42509968	42519802	1	chr22	42546989	42547432	16467	True	True	1.9524e-25	1.9524e-25	5.1251e-01	4.5446e-02	2.0316e-21
63	Whole_Blood	ENSG00000214401.4	KANSL1-AS1	chr17	46193576	46196723	1	chr17	46265245	46265480	10319	True	True	7.6130e-25	7.6130e-25	3.8712e-01	3.6082e-02	2.1212e-21
64	Whole_Blood	ENSG00000236397.3	DDX11L2	chr2	113599036	113601261	6	chr2	113610060	113611275	13631	True	True	2.5937e-25	2.5937e-25	-3.8959e-01	3.5931e-02	3.7166e-21
65	Skin_Not_Sun_Exposed_Suprapubic	ENSG00000283426.1	RP11-141C7.2	chr3	195701618	195711643	4	chr3	195712742	195714439	18364	True	True	3.0090e-25	3.0090e-25	4.3975e-01	4.0085e-02	5.0077e-21
66	Adipose_Subcutaneous	ENSG00000283426.1	RP11-141C7.2	chr3	195701618	195711643	4	chr3	195717039	195717263	18365	True	True	3.4219e-25	3.4219e-25	4.1578e-01	3.8194e-02	5.5428e-21
67	Adipose_Subcutaneous	ENSG00000224769.1	MUC20P1	chr3	195614947	195620233	5	chr3	195694561	195694966	18362	True	True	2.7379e-25	2.7379e-25	4.1589e-01	3.8125e-02	5.5428e-21
68	Artery_Tibial	ENSG00000206077.10	ZDHHC11B	chr5	710360	766952	19	chr5	774459	774835	20385	True	True	1.0934e-25	1.0934e-25	4.2141e-01	3.8254e-02	5.6823e-21
69	Skin_Sun_Exposed_Lower_leg	ENSG00000168528.11	SERINC2	chr1	31409565	31434680	3	chr1	31431747	31432230	461	True	True	5.8320e-25	5.8320e-25	-4.0775e-01	3.7720e-02	6.0521e-21
70	Nerve_Tibial	ENSG00000156219.16	ART3	chr4	76011184	76112802	2	chr4	76027456	76027965	19295	True	True	1.3715e-24	1.3715e-24	4.2588e-01	3.9525e-02	1.1639e-20
71	Artery_Tibial	ENSG00000214401.4	KANSL1-AS1	chr17	46193576	46196723	1	chr17	46265245	46265480	10319	True	True	5.1625e-24	5.1625e-24	4.0586e-01	3.8348e-02	1.2355e-20
72	Nerve_Tibial	ENSG00000237975.6	FLG-AS1	chr1	152168125	152445456	4	chr1	152213243	152221044	1143	True	True	1.2167e-24	1.2167e-24	-4.2743e-01	3.9607e-02	1.7209e-20
73	Adipose_Subcutaneous	ENSG00000206077.10	ZDHHC11B	chr5	710360	766952	19	chr5	764827	765401	20384	True	True	3.0731e-25	3.0731e-25	4.1851e-01	3.8379e-02	1.9702e-20
74	Cells_Cultured_fibroblasts	ENSG00000143631.10	FLG	chr1	152302175	152325203	2	chr1	152213243	152221044	1143	True	True	2.3603e-24	2.3603e-24	-4.4432e-01	4.1236e-02	2.1390e-20
75	Cells_Cultured_fibroblasts	ENSG00000215837.7	SDHAP2	chr3	195658096	195685904	4	chr3	195694561	195694966	18362	True	True	1.8488e-24	1.8488e-24	4.4524e-01	4.1215e-02	2.6808e-20
76	Esophagus_Muscularis	ENSG00000189306.10	RRP7A	chr22	42509968	42519802	1	chr22	42546989	42547432	16467	True	True	4.2940e-24	4.2940e-24	4.5291e-01	4.2169e-02	2.8103e-20
77	Adipose_Subcutaneous	ENSG00000120071.13	KANSL1	chr17	46029916	46225389	1	chr17	46265245	46265480	10319	True	True	1.1973e-23	1.1973e-23	4.0445e-01	3.8544e-02	3.4628e-20
78	Nerve_Tibial	ENSG00000120071.13	KANSL1	chr17	46029916	46225389	1	chr17	46265245	46265480	10319	True	True	1.5302e-23	1.5302e-23	4.1953e-01	3.9922e-02	4.6377e-20
79	Esophagus_Mucosa	ENSG00000206077.10	ZDHHC11B	chr5	710360	766952	19	chr5	764827	765401	20384	True	True	2.5467e-25	2.5467e-25	4.5053e-01	4.0877e-02	4.7603e-20
80	Lung	ENSG00000283426.1	RP11-141C7.2	chr3	195701618	195711643	4	chr3	195717039	195717263	18365	True	True	3.9652e-24	3.9652e-24	4.2949e-01	4.0226e-02	6.7891e-20
81	Esophagus_Mucosa	ENSG00000271662.1	RP11-141C7.3	chr3	195650146	195651472	5	chr3	195694561	195694966	18362	True	True	2.2879e-24	2.2879e-24	4.3825e-01	4.0731e-02	7.5027e-20
82	Muscle_Skeletal	ENSG00000283426.1	RP11-141C7.2	chr3	195701618	195711643	4	chr3	195694561	195694966	18362	True	True	7.9788e-24	7.9788e-24	3.6936e-01	3.5352e-02	7.9254e-20
83	Esophagus_Mucosa	ENSG00000189306.10	RRP7A	chr22	42509968	42519802	1	chr22	42546989	42547432	16467	True	True	1.8593e-23	1.8593e-23	4.3350e-01	4.1175e-02	9.1458e-20
84	Adipose_Visceral_Omentum	ENSG00000215837.7	SDHAP2	chr3	195658096	195685904	4	chr3	195694561	195694966	18362	True	True	4.7314e-24	4.7314e-24	4.4766e-01	4.1783e-02	9.5976e-20
85	Adipose_Visceral_Omentum	ENSG00000224769.1	MUC20P1	chr3	195614947	195620233	5	chr3	195717039	195717263	18365	True	True	4.7896e-24	4.7896e-24	4.4892e-01	4.1891e-02	9.7158e-20
86	Skin_Not_Sun_Exposed_Suprapubic	ENSG00000270127.2	RP11-526I2.5	chr15	100547765	100550153	8	chr15	100554291	100558659	8773	True	True	3.5883e-24	3.5883e-24	4.2947e-01	4.0186e-02	9.9529e-20
87	Testis	ENSG00000032742.17	IFT88	chr13	20567069	20691437	2	chr13	20550539	20550640	6323	True	True	1.4707e-23	1.4707e-23	-5.2204e-01	4.8057e-02	1.0541e-19
88	Artery_Tibial	ENSG00000188818.12	ZDHHC11	chr5	795606	850986	14	chr5	764827	765401	20384	True	True	4.1356e-24	4.1356e-24	4.0863e-01	3.8500e-02	1.2317e-19
89	Skin_Not_Sun_Exposed_Suprapubic	ENSG00000188818.12	ZDHHC11	chr5	795606	850986	14	chr5	764827	765401	20384	True	True	3.0119e-24	3.0119e-24	4.3284e-01	4.0396e-02	1.2531e-19
90	Esophagus_Muscularis	ENSG00000283426.1	RP11-141C7.2	chr3	195701618	195711643	4	chr3	195717039	195717263	18365	True	True	8.1995e-24	8.1995e-24	4.4860e-01	4.2084e-02	1.2910e-19
91	Esophagus_Muscularis	ENSG00000168903.8	BTNL3	chr5	180988845	181006727	10	chr5	180986484	180986608	21968	True	True	3.2878e-24	3.2878e-24	-4.4819e-01	4.1680e-02	1.2910e-19
92	Thyroid	ENSG00000214401.4	KANSL1-AS1	chr17	46193576	46196723	1	chr17	46265245	46265480	10319	True	True	6.8588e-23	6.8588e-23	3.9999e-01	3.8834e-02	1.8317e-19
93	Nerve_Tibial	ENSG00000214401.4	KANSL1-AS1	chr17	46193576	46196723	1	chr17	46265245	46265480	10319	True	True	8.4761e-23	8.4761e-23	4.1301e-01	4.0054e-02	2.2479e-19
94	Thyroid	ENSG00000237975.6	FLG-AS1	chr1	152168125	152445456	4	chr1	152213243	152221044	1143	True	True	2.9523e-23	2.9523e-23	-4.0082e-01	3.8577e-02	2.8033e-19
95	Whole_Blood	ENSG00000120071.13	KANSL1	chr17	46029916	46225389	1	chr17	46265245	46265480	10319	True	True	1.3566e-22	1.3566e-22	3.6929e-01	3.6367e-02	2.8350e-19
96	Lung	ENSG00000206077.10	ZDHHC11B	chr5	710360	766952	19	chr5	764827	765401	20384	True	True	4.9779e-24	4.9779e-24	4.3292e-01	4.0598e-02	3.3737e-19
97	Nerve_Tibial	ENSG00000197915.5	HRNR	chr1	152212082	152224193	3	chr1	152213243	152221044	1143	True	True	5.3636e-23	5.3636e-23	4.1332e-01	3.9894e-02	3.7932e-19
98	Muscle_Skeletal	ENSG00000120071.13	KANSL1	chr17	46029916	46225389	1	chr17	46265245	46265480	10319	True	True	1.9721e-22	1.9721e-22	3.5986e-01	3.5648e-02	4.2851e-19
99	Skin_Sun_Exposed_Lower_leg	ENSG00000206077.10	ZDHHC11B	chr5	710360	766952	19	chr5	764827	765401	20384	True	True	8.4745e-24	8.4745e-24	3.9928e-01	3.7971e-02	4.7741e-19
100	Artery_Tibial	ENSG00000032742.17	IFT88	chr13	20567069	20691437	2	chr13	20550539	20550640	6323	True	True	1.6716e-22	1.6716e-22	-3.9151e-01	3.8441e-02	6.4008e-19
101	Cells_Cultured_fibroblasts	ENSG00000189306.10	RRP7A	chr22	42509968	42519802	1	chr22	42546989	42547432	16467	True	True	2.1944e-22	2.1944e-22	4.3033e-01	4.1951e-02	6.6289e-19
102	Whole_Blood	ENSG00000215837.7	SDHAP2	chr3	195658096	195685904	4	chr3	195694561	195694966	18362	True	True	9.0701e-23	9.0701e-23	3.6941e-01	3.6227e-02	6.7393e-19
103	Testis	ENSG00000254646.1	OR8B10P	chr11	124516311	124517242	4	chr11	124443011	124443077	4712	True	True	6.0300e-23	6.0300e-23	5.1649e-01	4.8324e-02	7.6832e-19
104	Cells_Cultured_fibroblasts	ENSG00000138744.14	NAAA	chr4	75913657	75940949	1	chr4	76027456	76027965	19295	True	True	3.3869e-22	3.3869e-22	4.2404e-01	4.1598e-02	8.7696e-19
105	Whole_Blood	ENSG00000270127.2	RP11-526I2.5	chr15	100547765	100550153	8	chr15	100554291	100558659	8773	True	True	7.2975e-23	7.2975e-23	3.7633e-01	3.6766e-02	9.7600e-19
106	Thyroid	ENSG00000206077.10	ZDHHC11B	chr5	710360	766952	19	chr5	764827	765401	20384	True	True	2.6509e-23	2.6509e-23	4.0687e-01	3.9058e-02	9.7885e-19
107	Thyroid	ENSG00000271662.1	RP11-141C7.3	chr3	195650146	195651472	5	chr3	195717039	195717263	18365	True	True	1.0079e-22	1.0079e-22	3.9854e-01	3.8861e-02	9.7885e-19
108	Skin_Sun_Exposed_Lower_leg	ENSG00000120071.13	KANSL1	chr17	46029916	46225389	1	chr17	46265245	46265480	10319	True	True	4.4022e-22	4.4022e-22	3.8357e-01	3.8117e-02	1.1421e-18
109	Skin_Not_Sun_Exposed_Suprapubic	ENSG00000168528.11	SERINC2	chr1	31409565	31434680	3	chr1	31431747	31432230	461	True	True	2.1324e-22	2.1324e-22	-4.1572e-01	4.0674e-02	1.6635e-18
110	Esophagus_Muscularis	ENSG00000215837.7	SDHAP2	chr3	195658096	195685904	4	chr3	195694561	195694966	18362	True	True	1.3166e-22	1.3166e-22	4.3623e-01	4.2231e-02	1.7233e-18
111	Colon_Transverse	ENSG00000113303.11	BTNL8	chr5	180899077	180950906	9	chr5	180986484	180986608	21968	True	True	2.9844e-23	2.9844e-23	4.8873e-01	4.5854e-02	1.8632e-18
112	Artery_Tibial	ENSG00000100211.10	CBY1	chr22	38656640	38673854	3	chr22	38644314	38644569	16425	True	True	3.7107e-22	3.7107e-22	-3.9959e-01	3.9485e-02	1.9376e-18
113	Adipose_Subcutaneous	ENSG00000237975.6	FLG-AS1	chr1	152168125	152445456	4	chr1	152213243	152221044	1143	True	True	2.1511e-22	2.1511e-22	-3.9183e-01	3.8570e-02	2.1774e-18
114	Skin_Sun_Exposed_Lower_leg	ENSG00000214401.4	KANSL1-AS1	chr17	46193576	46196723	1	chr17	46265245	46265480	10319	True	True	1.0041e-21	1.0041e-21	3.8046e-01	3.8170e-02	2.3155e-18
115	Thyroid	ENSG00000283426.1	RP11-141C7.2	chr3	195701618	195711643	4	chr3	195717039	195717263	18365	True	True	3.6110e-22	3.6110e-22	3.9371e-01	3.8949e-02	2.5717e-18
116	Cells_Cultured_fibroblasts	ENSG00000196151.10	WDSUB1	chr2	159235793	159286799	1	chr2	159237781	159237871	14024	True	True	2.4070e-21	2.4070e-21	4.1482e-01	4.1662e-02	5.2745e-18
117	Cells_Cultured_fibroblasts	ENSG00000271662.1	RP11-141C7.3	chr3	195650146	195651472	5	chr3	195717039	195717263	18365	True	True	5.2381e-22	5.2381e-22	4.2431e-01	4.1813e-02	5.2745e-18
118	Skin_Not_Sun_Exposed_Suprapubic	ENSG00000215837.7	SDHAP2	chr3	195658096	195685904	4	chr3	195694561	195694966	18362	True	True	6.6191e-22	6.6191e-22	4.1047e-01	4.0699e-02	6.1199e-18
119	Colon_Transverse	ENSG00000206077.10	ZDHHC11B	chr5	710360	766952	19	chr5	774459	774835	20385	True	True	6.3596e-23	6.3596e-23	4.9084e-01	4.6372e-02	6.2866e-18
120	Breast_Mammary_Tissue	ENSG00000215837.7	SDHAP2	chr3	195658096	195685904	4	chr3	195694561	195694966	18362	True	True	1.2068e-22	1.2068e-22	4.6770e-01	4.4815e-02	1.0238e-17
121	Heart_Left_Ventricle	ENSG00000189306.10	RRP7A	chr22	42509968	42519802	1	chr22	42546989	42547432	16467	True	True	8.2279e-22	8.2279e-22	4.6914e-01	4.5849e-02	1.4478e-17
122	Esophagus_Mucosa	ENSG00000188818.12	ZDHHC11	chr5	795606	850986	14	chr5	764827	765401	20384	True	True	2.8807e-22	2.8807e-22	4.2349e-01	4.1478e-02	1.5871e-17
123	Skin_Sun_Exposed_Lower_leg	ENSG00000146556.14	WASH2P	chr2	113588550	113599034	6	chr2	113610060	113611275	13631	True	True	1.3244e-21	1.3244e-21	3.7911e-01	3.8161e-02	1.6492e-17
124	Whole_Blood	ENSG00000281990.1	IGHV1-69-2	chr14	106737110	106737547	5	chr14	106705656	106706543	8160	True	True	2.1719e-21	2.1719e-21	3.6453e-01	3.7012e-02	1.6504e-17
125	Testis	ENSG00000215837.7	SDHAP2	chr3	195658096	195685904	4	chr3	195694561	195694966	18362	True	True	1.6119e-21	1.6119e-21	5.0139e-01	4.8827e-02	1.8485e-17
126	Esophagus_Muscularis	ENSG00000249908.2	BRD9P2	chr5	767382	768930	11	chr5	774459	774835	20385	True	True	7.0359e-22	7.0359e-22	4.3282e-01	4.2686e-02	2.1708e-17
127	Whole_Blood	ENSG00000283426.1	RP11-141C7.2	chr3	195701618	195711643	4	chr3	195717039	195717263	18365	True	True	4.7549e-21	4.7549e-21	3.5664e-01	3.6588e-02	2.6498e-17
128	Colon_Transverse	ENSG00000196620.9	UGT2B15	chr4	68646630	68670628	3	chr4	68596915	68597248	19224	True	True	2.3183e-21	2.3183e-21	4.6787e-01	4.6260e-02	2.8947e-17
129	Esophagus_Muscularis	ENSG00000188818.12	ZDHHC11	chr5	795606	850986	14	chr5	764827	765401	20384	True	True	8.8049e-22	8.8049e-22	4.3232e-01	4.2746e-02	3.0253e-17
130	Esophagus_Mucosa	ENSG00000229178.1	AC069513.4	chr3	195655565	195657927	4	chr3	195694561	195694966	18362	True	True	3.4904e-21	3.4904e-21	4.0938e-01	4.1343e-02	4.0962e-17
131	Esophagus_Mucosa	ENSG00000215837.7	SDHAP2	chr3	195658096	195685904	4	chr3	195694561	195694966	18362	True	True	3.6432e-21	3.6432e-21	4.0921e-01	4.1347e-02	4.0962e-17
